target_uniprot_id	compound_bindingdb_id	pEC50
O96013	4838	7.721
O96013	101475	7.444
O96013	101476	7.796
O96013	101478	7.06
O96013	101479	9.027
O96013	101485	7.108
O96013	101488	6.301
O96013	101489	5.897
O96013	4827	5.921
O96013	101503	6.014
O96013	101504	7.332
O96013	101506	6.209
O96013	101507	6.109
O96013	101508	6.582
O96013	101510	6.094
O96013	101511	5.833
O96013	101513	7.009
O96013	101514	6.833
O96013	101515	6.342
O96013	101518	7.495
O96013	101520	6.397
O96013	101522	6.479
O96013	101524	7.509
O96013	101526	5.758
O96013	101529	6.244
O96013	101530	8.602
O96013	101532	8.62
O96013	101534	7.721
O96013	101535	7.824
O96013	101538	7.173
O96013	101540	7.699
O96013	101541	7.699
O96013	101542	8.523
O96013	101543	8.721
O96013	101545	8.357
O96013	101550	7.161
O96013	101553	7.699
O96013	101638	7.076
O96013	101639	6.342
O96013	50389108	8.155
O96013	50389109	6.092
O96013	50389110	7.745
O96013	50389111	7.9
O96013	50389113	7.495
O96013	50389115	7.678
O96013	50389116	7.959
O96013	50389117	8.046
O96013	50389118	7.444
O96013	50389119	7.824
O96013	50389120	7.553
O96013	50389121	8.398
O96013	50389122	7.796
O96013	50389123	9
P10275	18161	8.451
P10275	18162	6.415
P10275	18164	6.569
P10275	18165	6.495
P10275	18166	6.577
P10275	18167	8.357
P10275	18168	8.824
P10275	18169	6.551
P10275	18170	8.201
P10275	18171	8.638
P10275	18172	5.887
P10275	18173	8.806
P10275	18174	8.009
P10275	18175	7.699
P10275	18176	8.276
P10275	18177	8.745
P10275	18178	8.602
P10275	18179	7.06
P10275	18180	8.149
P10275	18181	7.319
P10275	18182	7.886
P10275	18183	8.585
P10275	18184	8.538
P10275	18185	8.131
P10275	18186	8.678
P10275	18187	6.967
P10275	18188	8.699
P10275	18189	9.523
P10275	18190	8.426
P10275	18192	7.745
P10275	18193	8.194
P10275	18194	8.62
P10275	18195	8.495
P10275	18196	8.108
P10275	18197	8.456
P10275	18198	8.854
P10275	18200	7.328
P10275	18201	8.051
P10275	18202	7.284
P10275	18203	7.509
P10275	18204	7.824
P10275	18205	7.357
P10275	18206	8.108
P10275	18208	6.876
P10275	18209	8
P10275	18210	8.409
P10275	18211	8.721
P10275	18212	8.638
P10275	18213	8.569
P10275	18214	8.222
P10275	18215	8.42
P10275	18216	8.959
P10275	18217	7.523
P10275	18218	8.569
P10275	18219	8.229
P10275	18220	7.569
P10275	18221	7.585
P10275	18222	7.854
P10275	18517	7.886
P10275	18518	8.585
P10275	18519	7.319
P10275	18520	7.678
P10275	18521	7.921
P10275	18522	8.149
P10275	18523	8.076
P10275	18524	9.699
P10275	18527	5.694
P10275	18528	6.975
P10275	18530	8.678
P10275	18531	8.824
P10275	18532	5.892
P10275	18533	8.658
P10275	18534	8.721
P10275	18535	9.398
P10275	18536	8.553
P10275	18540	5.886
P10275	18552	6.043
P10275	18560	6.227
P10275	18561	7.081
P10275	18562	7.187
P10275	18568	7.137
P10275	18571	6.967
P10275	18572	6.609
P10275	18574	6.394
P10275	18578	9.398
P10275	18579	9.398
P10275	18580	8.009
P10275	18582	8.886
P10275	18583	8.167
P10275	18584	9.046
P10275	18585	8.745
P10275	18586	7.092
P10275	18587	8.229
P10275	18588	9.699
P10275	18589	9.301
P10275	18590	8.796
P10275	18591	7.337
P10275	18592	8.638
P10275	18593	8.102
P10275	18594	7.569
P10275	18595	7.921
P10275	18596	7.699
P10275	18597	7.658
