target_uniprot_id	compound_bindingdb_id	pEC50
O96013	4838	1
O96013	101475	1
O96013	101476	1
O96013	101478	1
O96013	101479	1
O96013	101485	1
O96013	101488	1
O96013	101489	0
O96013	4827	0
O96013	101503	0
O96013	101504	1
O96013	101506	1
O96013	101507	0
O96013	101508	1
O96013	101510	0
O96013	101511	0
O96013	101513	1
O96013	101514	1
O96013	101515	1
O96013	101518	1
O96013	101520	1
O96013	101522	1
O96013	101524	1
O96013	101526	0
O96013	101529	1
O96013	101530	1
O96013	101532	1
O96013	101534	1
O96013	101535	1
O96013	101538	1
O96013	101540	1
O96013	101541	1
O96013	101542	1
O96013	101543	1
O96013	101545	1
O96013	101550	1
O96013	101553	1
O96013	101638	1
O96013	101639	1
O96013	50389108	1
O96013	50389109	0
O96013	50389110	1
O96013	50389111	1
O96013	50389113	1
O96013	50389115	1
O96013	50389116	1
O96013	50389117	1
O96013	50389118	1
O96013	50389119	1
O96013	50389120	1
O96013	50389121	1
O96013	50389122	1
O96013	50389123	1
P10275	18161	1
P10275	18162	1
P10275	18164	1
P10275	18165	1
P10275	18166	1
P10275	18167	1
P10275	18168	1
P10275	18169	1
P10275	18170	1
P10275	18171	1
P10275	18172	0
P10275	18173	1
P10275	18174	1
P10275	18175	1
P10275	18176	1
P10275	18177	1
P10275	18178	1
P10275	18179	1
P10275	18180	1
P10275	18181	1
P10275	18182	1
P10275	18183	1
P10275	18184	1
P10275	18185	1
P10275	18186	1
P10275	18187	1
P10275	18188	1
P10275	18189	1
P10275	18190	1
P10275	18192	1
P10275	18193	1
P10275	18194	1
P10275	18195	1
P10275	18196	1
P10275	18197	1
P10275	18198	1
P10275	18200	1
P10275	18201	1
P10275	18202	1
P10275	18203	1
P10275	18204	1
P10275	18205	1
P10275	18206	1
P10275	18208	1
P10275	18209	1
P10275	18210	1
P10275	18211	1
P10275	18212	1
P10275	18213	1
P10275	18214	1
P10275	18215	1
P10275	18216	1
P10275	18217	1
P10275	18218	1
P10275	18219	1
P10275	18220	1
P10275	18221	1
P10275	18222	1
P10275	18517	1
P10275	18518	1
P10275	18519	1
P10275	18520	1
P10275	18521	1
P10275	18522	1
P10275	18523	1
P10275	18524	1
P10275	18527	0
P10275	18528	1
P10275	18530	1
P10275	18531	1
P10275	18532	0
P10275	18533	1
P10275	18534	1
P10275	18535	1
P10275	18536	1
P10275	18540	0
P10275	18552	0
P10275	18560	1
P10275	18561	1
P10275	18562	1
P10275	18568	1
P10275	18571	1
P10275	18572	1
P10275	18574	1
P10275	18578	1
P10275	18579	1
P10275	18580	1
P10275	18582	1
P10275	18583	1
P10275	18584	1
P10275	18585	1
P10275	18586	1
P10275	18587	1
P10275	18588	1
P10275	18589	1
P10275	18590	1
P10275	18591	1
P10275	18592	1
P10275	18593	1
P10275	18594	1
P10275	18595	1
P10275	18596	1
P10275	18597	1
P10275	18598	1
P10275	18599	1
P10275	18600	1
P10275	18601	1
P10275	18602	1
P10275	18604	1
P10275	18605	1
P10275	18606	1
P10275	18607	1
P10275	18608	1
P10275	18609	1
P10275	18610	1
P10275	18611	1
P10275	18612	1
P10275	18613	1
P10275	18614	1
P10275	29318	1
P10275	29319	1
P10275	29320	1
P10275	29321	1
P10275	29322	1
P10275	29323	1
P10275	29324	1
P10275	29325	0
P10275	29326	1
P10275	29328	0
P10275	35887	0
P10275	35888	0
P10275	35889	0
P10275	35891	0
P10275	35892	0
P10275	35893	0
P10275	35894	0
P10275	35895	0
P10275	35896	0
P10275	35899	0
P10275	35902	0
P10275	35904	0
P10275	35906	0
P10275	35907	0
P10275	35908	0
P10275	35910	0
P10275	35911	0
P10275	35912	0
P10275	35913	0
P10275	35914	0
P10275	35916	0
P10275	35917	0
P10275	35918	0
P10275	35919	0
P10275	17636	0
P10275	50069068	1
P10275	50069062	1
P10275	50069083	1
P10275	50069075	1
P10275	50069079	1
P10275	50069076	1
P10275	50403730	1
P10275	50403731	1
P10275	50403727	1
P10275	50076689	1
P10275	50076685	1
P10275	18525	0
P10275	50076691	1
P10275	50076688	1
P10275	50076692	1
P10275	50076697	1
P10275	50076712	1
P10275	50076717	1
P10275	50076713	1
P10275	50076705	1
P10275	50076703	0
P10275	50076711	0
P10275	50076710	1
P10275	50076708	1
P10275	50076706	1
P10275	50077100	1
P10275	50077115	1
P10275	50077105	1
P10275	50077095	1
P10275	50077113	1
P10275	50403736	1
P10275	50077114	1
P10275	50403735	1
P10275	50403734	1
P10275	50077112	1
P10275	50077107	1
P10275	50077104	1
P10275	50077097	1
P10275	50077109	1
P10275	50007584	1
P10275	50007585	1
P10275	50007586	1
P10275	50007587	1
P10275	50007588	1
P10275	50007589	1
P10275	50007590	1
P10275	50007591	1
P10275	50007592	1
P10275	50007593	1
P10275	50007594	1
P10275	50007595	1
P10275	50007596	1
P10275	50007597	1
P10275	50007598	1
P10275	50007601	1
P10275	50007603	1
P10275	50007605	1
P10275	50007606	1
P10275	50007608	1
P10275	50007599	0
P10275	50007600	1
P10275	50007602	1
P10275	50007604	1
P10275	50007607	1
P10275	50007609	1
P10275	50007610	1
P10275	50069080	1
P10275	50069060	1
P10275	50069082	0
P10275	50069072	1
P10275	50069071	1
P10275	50069066	1
P10275	50069074	1
P10275	50069065	1
P10275	50069069	1
P10275	50076699	1
P10275	50076693	1
P10275	50076687	1
P10275	50076684	1
P10275	50076694	1
P10275	50076704	1
P10275	50076701	1
P10275	50073060	1
P10275	50057640	1
P10275	50057641	1
P10275	50057642	1
P10275	50057643	1
P10275	50057644	1
P10275	50057645	1
P10275	50057646	1
P10275	50057647	1
P10275	50057648	1
P10275	50057649	1
P10275	50057650	1
P10275	50057651	1
P10275	50057652	0
P10275	50410541	1
P10275	50415098	1
P10275	50415097	1
P10275	50068091	1
P10275	50068089	1
P10275	50068093	1
P10275	50068094	1
P10275	50068095	1
