target_uniprot_id	compound_bindingdb_id	pKd
P00918	11929	9.337
P00918	11930	9.31
P00918	11931	9.081
P00918	11932	9.699
P00918	11933	9.796
P00918	11934	9.495
P00918	10885	9.968
P00918	11935	10
P00918	11936	10
P00918	11937	8.77
P00918	11938	9.886
P00918	12414	4.453
P00918	12415	6.629
P00918	12416	7.097
P00918	12417	7.569
P00918	12418	7.553
P00918	13058	7.347
P00918	84662	6.362
P00918	84663	7.538
P00918	84664	6.371
P00918	84665	6.682
P00918	84666	7
P00918	50163862	8.611
P00918	50163863	8.402
P00918	50163864	6.869
P00918	50329832	6.874
P00918	246549	8.201
P00918	246550	7.979
P00918	246551	5.114
P00918	50329831	5.699
P00918	246552	8.38
P00918	246553	7.845
P00918	246575	5.398
P00918	50329830	6
P00918	246554	7
P00918	246555	8.544
P00918	246556	5.778
P00918	50329822	6.942
P00918	246557	8.301
P00918	246558	8.204
P00918	246559	5.114
P00918	50329823	6.238
P00918	246560	8.255
P00918	246561	8.447
P00918	246562	5.176
P00918	50329824	6.088
P00918	246563	8.38
P00918	246564	8.569
P00918	246565	5.544
P00918	50329825	6.322
P00918	246566	8.255
P00918	246567	7.845
P00918	246568	4.777
P00918	50329826	6.165
P00918	246569	8.255
P00918	246570	7.845
P00918	246571	5.301
P00918	50329827	6.407
P00918	246572	8.398
P00918	246573	8.478
P00918	246574	5.462
P00918	50329829	6
P00918	25901	6.582
P00918	10882	9.054
P00918	10880	8.285
P00918	50288870	6.689
P00918	50288910	7.011
P00918	50288878	7.839
P00918	50288892	8.301
P00918	50101343	6.495
P00918	50038950	7.149
P00918	50038951	8.398
P00918	50038953	8.854
P00918	50038952	6.921
P00918	50038954	7.444
P00918	50038955	8.658
P00918	50038957	8.367
P00918	12020	8.638
P00918	50038956	9.046
P00918	50038958	8.854
P00918	50038959	8.276
P00918	50038961	6.824
P00918	50038960	7.678
P00918	50038962	8.678
P00918	50038963	7.125
P00918	50038965	9.523
P00918	50038964	8.602
P00918	50038966	8.959
P00918	12013	8.959
P00918	50038967	8.77
P00918	50038971	8.699
P00918	50038970	8.252
P00918	50038969	6.678
P00918	50038968	9.222
P00918	50038972	7.276
P00918	50031588	7.674
P00918	50429899	8.174
P00918	50031589	6.021
P00918	50429900	7.77
P00918	50078642	9.866
P00918	50078643	10.046
P00918	50078644	9.77
P00918	50078670	9.097
P00918	50078671	10.469
P00918	50078672	10.081
P00918	10884	10.367
P00918	50108105	0.347
P00918	50145918	3.31
P00918	50145921	2.854
P00918	50145925	3.174
P00918	50288856	7.194
P00918	50288857	7
P00918	50288858	6.638
P00918	50288859	6.796
P00918	50288860	6.569
P00918	50288861	6.585
P00918	50288862	6.796
P00918	50288863	6.481
P00918	50288864	6.854
P00918	50288865	6.301
P00918	50288866	6.886
P00918	50288867	6.377
P00918	50288868	6.523
P00918	50288869	6.431
P00918	50288871	6.62
P00918	50288872	6.824
P00918	50101337	8.046
P00918	50288873	6.638
P00918	50288874	6.886
P00918	50101379	6.854
P00918	50288875	7.77
P00918	50288876	6.796
P00918	50288877	6.854
P00918	50101373	6.276
P00918	50288879	6.429
P00918	50288881	6.569
P00918	50288882	6.678
P00918	50288883	6.538
P00918	50288884	6.796
P00918	50288885	6.523
P00918	50288886	6.678
P00918	50288887	6.77
P00918	50288888	6.77
P00918	50288889	6.444
P00918	50288890	6.796
P00918	50288891	6.538
P00918	50101355	8
P00918	50288893	6.538
P00918	50288894	6.481
P00918	50288895	6.658
P00918	50288896	6.553
P00918	50101351	7.824
P00918	50288897	6.602
P00918	50288898	6.921
P00918	50288899	6.721
P00918	50288900	6.426
P00918	50288901	6.538
P00918	50288902	6.854
P00918	50288903	6.699
P00918	50101365	6.42
P00918	50288904	6.678
P00918	50288905	6.77
P00918	50288906	6.469
P00918	50288907	6.495
P00918	50288908	6.553
P00918	50101350	8.046
P00918	50288909	7.658
P00918	50101383	6.538
P00918	50101391	7.886
P00918	50288911	6.721
P00918	50288912	6.796
P00918	50288913	6.854
P00918	50288914	7.77
P00918	50288880	7.027
P00918	50288915	6.678
P00918	50288916	6.398
P00918	50288917	6.638
P00918	50288918	6.886
P00918	50288919	6.854
P00918	50288920	6.481
P00918	50288921	6.602
P00918	50288922	7.569
P00918	50288923	6.886
P00918	50288924	8.046
P00918	50288925	6.638
P00918	50101349	6.62
P00918	50101393	7.276
P00918	50288926	6.77
P00918	50288927	6.481
P00918	50101394	5.959
P00918	50288928	6.523
P00918	50288929	6.658
P00918	50101353	6.921
P00918	50288930	6.854
P00918	50288931	6.538
P00918	50288932	6.62
P00918	50288933	6.824
P00918	50380148	8.165
P00918	50163858	8.444
P00918	50380144	8.502
P00918	50163867	7.588
P00918	50380140	7.258
P00918	50163868	7.349
P00918	50163865	8.327
P00918	50163860	8.317
P00918	50163861	7.97
