target_uniprot_id	compound_bindingdb_id	pKd
P00918	11929	1
P00918	11930	1
P00918	11931	1
P00918	11932	1
P00918	11933	1
P00918	11934	1
P00918	10885	1
P00918	11935	1
P00918	11936	1
P00918	11937	1
P00918	11938	1
P00918	12414	0
P00918	12415	0
P00918	12416	1
P00918	12417	1
P00918	12418	1
P00918	13058	1
P00918	84662	0
P00918	84663	1
P00918	84664	0
P00918	84665	0
P00918	84666	1
P00918	50163862	1
P00918	50163863	1
P00918	50163864	1
P00918	50329832	1
P00918	246549	1
P00918	246550	1
P00918	246551	0
P00918	50329831	0
P00918	246552	1
P00918	246553	1
P00918	246575	0
P00918	50329830	0
P00918	246554	1
P00918	246555	1
P00918	246556	0
P00918	50329822	1
P00918	246557	1
P00918	246558	1
P00918	246559	0
P00918	50329823	0
P00918	246560	1
P00918	246561	1
P00918	246562	0
P00918	50329824	0
P00918	246563	1
P00918	246564	1
P00918	246565	0
P00918	50329825	0
P00918	246566	1
P00918	246567	1
P00918	246568	0
P00918	50329826	0
P00918	246569	1
P00918	246570	1
P00918	246571	0
P00918	50329827	0
P00918	246572	1
P00918	246573	1
P00918	246574	0
P00918	50329829	0
P00918	25901	0
P00918	10882	1
P00918	10880	1
P00918	50288870	0
P00918	50288910	1
P00918	50288878	1
P00918	50288892	1
P00918	50101343	0
P00918	50038950	1
P00918	50038951	1
P00918	50038953	1
P00918	50038952	1
P00918	50038954	1
P00918	50038955	1
P00918	50038957	1
P00918	12020	1
P00918	50038956	1
P00918	50038958	1
P00918	50038959	1
P00918	50038961	1
P00918	50038960	1
P00918	50038962	1
P00918	50038963	1
P00918	50038965	1
P00918	50038964	1
P00918	50038966	1
P00918	12013	1
P00918	50038967	1
P00918	50038971	1
P00918	50038970	1
P00918	50038969	0
P00918	50038968	1
P00918	50038972	1
P00918	50031588	1
P00918	50429899	1
P00918	50031589	0
P00918	50429900	1
P00918	50078642	1
P00918	50078643	1
P00918	50078644	1
P00918	50078670	1
P00918	50078671	1
P00918	50078672	1
P00918	10884	1
P00918	50108105	0
P00918	50145918	0
P00918	50145921	0
P00918	50145925	0
P00918	50288856	1
P00918	50288857	1
P00918	50288858	0
P00918	50288859	1
P00918	50288860	0
P00918	50288861	0
P00918	50288862	1
P00918	50288863	0
P00918	50288864	1
P00918	50288865	0
P00918	50288866	1
P00918	50288867	0
P00918	50288868	0
P00918	50288869	0
P00918	50288871	0
P00918	50288872	1
P00918	50101337	1
P00918	50288873	0
P00918	50288874	1
P00918	50101379	1
P00918	50288875	1
P00918	50288876	1
P00918	50288877	1
P00918	50101373	0
P00918	50288879	0
P00918	50288881	0
P00918	50288882	0
P00918	50288883	0
P00918	50288884	1
P00918	50288885	0
P00918	50288886	0
P00918	50288887	0
P00918	50288888	0
P00918	50288889	0
P00918	50288890	1
P00918	50288891	0
P00918	50101355	1
P00918	50288893	0
P00918	50288894	0
P00918	50288895	0
P00918	50288896	0
P00918	50101351	1
P00918	50288897	0
P00918	50288898	1
P00918	50288899	0
P00918	50288900	0
P00918	50288901	0
P00918	50288902	1
P00918	50288903	0
P00918	50101365	0
P00918	50288904	0
P00918	50288905	0
P00918	50288906	0
P00918	50288907	0
P00918	50288908	0
P00918	50101350	1
P00918	50288909	1
P00918	50101383	0
P00918	50101391	1
P00918	50288911	0
P00918	50288912	1
P00918	50288913	1
P00918	50288914	1
P00918	50288880	1
P00918	50288915	0
P00918	50288916	0
P00918	50288917	0
P00918	50288918	1
P00918	50288919	1
P00918	50288920	0
P00918	50288921	0
P00918	50288922	1
P00918	50288923	1
P00918	50288924	1
P00918	50288925	0
P00918	50101349	0
P00918	50101393	1
P00918	50288926	0
P00918	50288927	0
P00918	50101394	0
P00918	50288928	0
P00918	50288929	0
P00918	50101353	1
P00918	50288930	1
P00918	50288931	0
P00918	50288932	0
P00918	50288933	1
P00918	50380148	1
P00918	50163858	1
P00918	50380144	1
P00918	50163867	1
P00918	50380140	1
P00918	50163868	1
P00918	50163865	1
P00918	50163860	1
P00918	50163861	1
P00918	50429922	1
P00918	50163859	0
P00918	50163866	1
P00918	10859	1
P00918	50415863	0
P00918	50423787	0
P00918	10877	0
P00918	4703	0
P00918	10857	0
P00918	50329759	1
P00918	50329760	1
P00918	50329761	0
P00918	50329762	0
P00918	50329763	0
P00918	50329764	1
P00918	50329765	0
P00918	50329766	0
P00918	50329767	1
P00918	50329768	1
P00918	50329769	0
