target_uniprot_id	compound_bindingdb_id	pKi
P42574	219	1
P42574	223	1
P42574	228	0
P42574	229	1
P42574	230	1
P42574	224	1
P42574	231	1
P42574	232	1
P42574	225	1
P42574	226	1
P42574	233	0
P42574	247	1
P42574	248	1
P42574	249	0
P42574	250	0
P42574	251	1
P42574	252	1
P42574	253	1
P42574	254	0
P42574	255	0
P42574	256	1
P42574	257	1
P42574	258	0
P42574	259	1
P42574	260	1
P42574	227	1
P42574	261	0
P42574	262	0
P42574	263	1
P42574	264	1
P42574	265	1
P42574	10246	1
P42574	266	0
P42574	220	1
P42574	221	1
P42574	267	0
P42574	268	0
P42574	269	1
P42574	270	0
P42574	271	0
P42574	272	0
P42574	273	0
P42574	274	1
P42574	275	1
P42574	276	1
P42574	277	1
P42574	222	1
P42574	278	1
P42574	279	1
P42574	280	1
P42574	10181	0
P42574	10182	0
P42574	10183	0
P42574	10184	0
P42574	10185	0
P42574	10186	0
P42574	10187	0
P42574	10188	1
P42574	10189	1
P42574	10190	1
P42574	10191	1
P42574	10192	1
P42574	10193	1
P42574	10194	1
P42574	10195	1
P42574	10196	1
P42574	10197	0
P42574	10198	1
P42574	10199	1
P42574	10200	0
P42574	10201	0
P42574	10202	0
P42574	10203	0
P42574	10204	0
P42574	10205	1
P42574	10206	0
P42574	10207	1
P42574	10208	0
P42574	10209	1
P42574	10210	0
P42574	10211	0
P42574	10212	0
P42574	10213	1
P42574	10214	1
P42574	10215	0
P42574	10297	0
P42574	10298	1
P42574	10305	1
P42574	10309	0
P42574	10315	1
P42574	10316	0
P42574	10318	1
P42574	10323	1
P42574	10351	1
P42574	19728	1
P42574	10348	1
P42574	10320	1
P42574	19729	1
P42574	19730	1
P42574	50116264	1
P42574	50116265	1
P42574	50116260	1
P42574	50116267	1
P42574	50133879	1
P42574	50133889	1
P42574	50133876	1
P42574	50049521	0
P42574	50157539	1
P42574	50160957	1
P42574	50160974	1
P42574	10330	1
P42574	10334	1
P42574	50200310	1
P42574	50200311	1
P42574	50200305	1
P42574	50200302	1
P42574	50200303	1
P42574	50200314	1
P42574	50200312	1
P42574	50200313	1
P42574	50200309	1
P42574	50192784	1
P42574	50200308	1
P42574	50200315	1
P42574	50200306	1
P42574	50200307	1
P42574	50200931	0
P42574	50200933	0
P42574	50200934	0
P42574	50200935	0
P42574	50200932	0
P42574	50149205	0
P42574	50149217	1
P42574	50338491	1
P42574	50338500	1
P42574	50326016	0
P29466	220	1
P29466	221	0
P29466	219	0
P29466	222	0
P29466	223	0
P29466	224	0
P29466	225	0
P29466	226	0
P29466	227	0
P29466	10246	1
P29466	10297	0
P29466	10298	0
P29466	10309	0
P29466	10315	0
P29466	10318	0
P29466	12197	1
P29466	12043	0
P29466	12044	0
P29466	12045	0
P29466	12046	0
P29466	12047	0
P29466	12055	0
P29466	12049	0
P29466	12050	0
P29466	12051	0
P29466	12052	0
P29466	12053	0
P29466	12054	0
P29466	12056	0
P29466	12057	0
P29466	12058	1
P29466	12059	0
P29466	12060	0
P29466	12061	1
P29466	12062	1
P29466	12063	0
P29466	12064	1
P29466	12065	0
P29466	12066	1
P29466	12067	1
P29466	12068	0
P29466	12069	0
P29466	12070	1
P29466	12071	0
P29466	50284734	0
P29466	50284733	0
P29466	50284735	1
P29466	50071541	0
P29466	50139701	0
P29466	50139690	1
P29466	50139691	0
P29466	50139698	0
P29466	50139692	0
P29466	50139699	1
P29466	50139702	1
P29466	50139703	0
P29466	50058526	1
P29466	50058527	1
P29466	50058528	1
P29466	50058529	1
P29466	50058531	1
P29466	50058530	1
P29466	50068944	1
P29466	50068945	1
P29466	50068947	1
P29466	50068946	1
P29466	50068949	1
P29466	50068948	1
P29466	50068950	1
P29466	50068951	1
P29466	50068952	1
P29466	50068953	1
P29466	50068954	1
P29466	50068955	1
P29466	50068959	1
P29466	50068960	1
P29466	50068958	1
P29466	50068961	1
P29466	50068962	1
P29466	50068956	0
P29466	50068957	1
P29466	50068963	1
P29466	50068966	1
P29466	50068965	1
P29466	50068964	1
P29466	50068967	1
P29466	50068970	1
P29466	50068968	1
P29466	50068969	1
P29466	50068971	1
P29466	50068972	1
P29466	50068973	1
P29466	50071542	1
P29466	50071543	1
P29466	50091563	0
P29466	50091565	1
P29466	50091571	0
P29466	50091578	0
P29466	50091583	0
P29466	50091584	1
P29466	50091582	0
P29466	50091587	1
P29466	50111802	1
P29466	50433441	0
P29466	50033886	0
P29466	50091585	1
P29466	50139693	0
P29466	50139695	1
P29466	50139694	0
P29466	50139697	0
P29466	50139696	0
P29466	50176493	1
P29466	50176495	1
P29466	50176496	1
P29466	50176497	1
P29466	50176498	1
P29466	50176499	0
P29466	50176500	1
P29466	50176501	0
P29466	50176503	0
P29466	50176505	1
P29466	50176504	1
P29466	50176507	0
P29466	50176494	1
P29466	50176508	1
P29466	50176509	1
P29466	50176510	1
P29466	50176502	1
P29466	50176511	1
P29466	50176492	0
P29466	50176512	1
P29466	50176515	1
P29466	50176506	1
P29466	50176513	1
P29466	50176514	0
P29466	50176518	0
P29466	50176519	1
P29466	50176517	1
P29466	50176520	0
P29466	50176516	0
P29466	50200932	1
P29466	10355	1
P29466	50281177	0
P29466	50281178	0
P29466	50281181	0
P29466	50281182	0
P29466	50281183	0
P29466	50281184	1
P29466	50281185	0
P29466	50281186	0
P29466	50282977	1
P29466	50282978	1
P29466	50282979	1
P29466	50282980	1
P29466	50282981	1
P29466	50282982	1
P29466	50282983	1
P29466	50282984	1
P29466	50283338	1
P29466	50283341	1
P29466	50283342	0
P29466	50283343	0
P29466	50283345	1
P29466	50283346	1
P29466	50283348	1
P29466	50283349	0
P29466	50283350	0
P29466	50283351	0
P29466	50213208	0
P29466	50284718	0
P29466	50284719	0
P29466	50284722	0
P29466	50284723	0
P29466	50284724	0
P29466	50284725	0
P29466	50284726	0
P29466	50284727	0
P29466	50284729	0
P29466	50284731	0
P29466	50284732	0
P29466	50284739	0
P29466	50284744	1
P29466	50284740	0
P29466	50284741	0
P29466	50284743	0
P29466	50284745	0
P29466	50284747	0
P29466	50284748	0
P29466	50284749	0
P29466	50286304	1
P29466	50091577	1
P29466	50289386	1
P29466	50289387	1
P29466	50289388	1
P29466	50289389	0
P29466	50289390	1
P29466	50289391	0
P29466	50289392	0
P29466	50289393	1
P29466	50289394	1
P29466	50289395	1
P29466	50289396	1
P29466	50289397	1
P29466	50289398	1
P29466	50289399	1
P29466	50289400	1
P29466	50289401	1
P29466	50289402	1
P29466	50289403	1
P29466	50289404	1
P29466	50289405	1
P29466	50084633	1
P29466	50289406	0
P29466	50289407	1
P29466	50289408	1
P29466	50289409	1
P29466	50289410	1
P29466	50289411	1
P29466	50289412	1
P29466	50289413	1
P29466	50289414	1
P29466	50289415	1
P29466	50290005	0
P29466	50290006	1
P29466	50290007	0
P29466	50290008	0
P29466	50290009	1
P29466	50290010	0
P29466	50290011	0
P29466	50290012	1
P29466	50290013	0
P29466	50290014	1
P29466	50290015	1
P29466	50290016	0
P29466	50200543	1
P29466	166683	1
P29466	50200552	1
P29466	50200550	1
P29466	50200553	1
P29466	50200555	1
P29466	50200549	1
P29466	50200554	1
P29466	50200551	1
P29466	50200547	1
P29466	50200544	1
P29466	50200548	0
P29466	50200545	1
P29466	50200556	1
P29466	50200546	1
P29466	50308233	0
P29466	50308235	1
P29466	50308236	0
P29466	50308237	0
P29466	50308238	1
P29466	50308239	0
P29466	50308240	0
P29466	50308241	0
P29466	50308242	0
P29466	50308243	1
P29466	50324935	1
P29466	50324936	1
P29466	50324937	1
P29466	50324938	1
P29466	50324939	1
P29466	50324940	1
P29466	50324941	1
P29466	50324942	1
P29466	50324943	1
P29466	50324944	1
P29466	50324945	1
P29466	50199769	1
P29466	50324946	1
P29466	50324947	1
P29466	50324948	1
P29466	50324949	1
P29466	50324950	1
P29466	50324960	1
P29466	50324959	1
P29466	50324958	1
P29466	50324957	1
P29466	50324956	1
P29466	50324955	1
P29466	50324954	1
P29466	50324953	1
P29466	50324952	1
P29466	50324951	0
P29466	50325234	0
P29466	50325235	1
P29466	50325236	1
P29466	50325237	1
P29466	50325238	1
P29466	50325239	1
P29466	50325240	1
P29466	50325241	1
P29466	50325242	0
P29466	50325243	0
P29466	50325244	0
P29466	50325245	0
P29466	50325246	0
P29466	50325247	0
P29466	50325248	0
P29466	50325249	0
P29466	50325250	0
P29466	50325251	0
P29466	50325252	0
P29466	50325253	0
P29466	50325254	0
P29466	50325255	0
P29466	50325256	0
P29466	50325257	0
P29466	50325258	0
P29466	50325259	0
P29466	50325260	0
P29466	50325261	0
P29466	50325262	0
P29466	50325263	0
P29466	50325264	0
P29466	50325265	0
P29466	50325266	0
P29466	50325267	0
P29466	50325268	0
P29466	50325269	0
P29466	50325270	0
P29466	50325271	0
P29466	50325272	0
P29466	50325273	0
P29466	50084635	1
P29466	50084658	1
P49662	220	0
P49662	221	0
P49662	219	0
P49662	222	0
P49662	223	0
P49662	224	0
P49662	225	0
P49662	226	0
P49662	227	0
P49662	10297	0
P49662	10298	0
P49662	10315	0
P49662	10318	0
P49662	50200553	1
P49662	50200544	1
P49662	50200554	0
P49662	50200555	1
P49662	50200548	0
P49662	50200556	1
P49662	50200546	1
P49662	50200543	1
P49662	50200545	1
P49662	50200551	1
P49662	166683	1
P49662	50200550	1
P49662	50200547	1
P55210	220	1
P55210	221	1
P55210	219	1
P55210	222	1
P55210	223	1
P55210	224	1
P55210	225	1
P55210	226	1
P55210	227	0
P55210	10215	0
P55210	10297	1
P55210	10298	1
P55210	10305	1
P55210	10309	0
P55210	10315	1
P55210	10316	0
P55210	10318	1
P55210	10323	1
P55210	10320	1
P55210	50200932	0
P55212	220	0
P55212	221	0
P55212	219	0
P55212	222	1
P55212	223	1
P55212	224	0
P55212	225	0
P55212	226	0
P55212	227	0
P55212	10297	0
P55212	10298	0
P55212	10315	0
P55212	10316	0
P55212	10318	0
P55212	50200932	0
P51878	220	0
P51878	221	0
P51878	219	0
P51878	222	0
P51878	223	0
P51878	224	0
P51878	225	0
P51878	226	0
P51878	227	0
P51878	166683	1
P51878	50200545	1
P51878	50200546	1
P51878	50200547	1
P51878	50200551	1
P51878	50200549	1
P51878	50200553	1
P51878	50200550	1
P51878	50200548	1
P51878	50200552	1
P51878	50200543	1
P51878	50200555	1
P51878	50200554	1
P51878	50200544	1
P51878	50200556	1
Q14790	220	1
Q14790	221	0
Q14790	219	0
Q14790	222	0
Q14790	223	0
Q14790	224	0
Q14790	225	1
Q14790	226	1
Q14790	227	0
Q14790	10215	0
Q14790	10216	0
Q14790	10298	0
Q14790	10315	0
Q14790	10318	0
Q14790	50116260	1
Q14790	50200932	0
P42575	220	0
P42575	221	0
P42575	219	0
P42575	222	0
P42575	223	0
P42575	224	0
P42575	225	0
P42575	226	0
P42575	227	0
P42575	10315	0
P42575	10316	0
P42575	10318	0
P42575	10323	0
P42575	50200932	0
P01275	2232	1
P01275	2240	1
P01275	2241	1
P01275	2376	1
P01275	2377	0
P01275	2387	1
P01275	2390	1
P01275	2391	1
P01275	2408	1
P01275	2417	1
P01275	2437	1
P01275	2438	1
P01275	100794	1
P01275	100793	1
P01275	100796	1
P01275	100791	0
P01275	100789	0
P01275	100790	0
P01275	100792	0
P01275	100797	1
P01275	100798	1
P01275	100799	1
P01275	100800	1
P01275	100801	1
P01275	100803	1
P01275	100805	1
P01275	100806	1
P01275	100808	1
P01275	100810	1
P01275	100812	1
P01275	100813	1
P01275	100814	1
P01275	100815	1
P01275	100816	1
P01275	100817	1
P01275	100818	1
P01275	100819	1
P01275	100820	1
P01275	100821	1
P01275	100822	1
P01275	100823	1
P01275	100824	1
P01275	100825	1
P01275	100826	1
P01275	100827	1
P01275	100828	1
P01275	100829	1
P01275	100830	1
P01275	100831	1
P01275	100833	1
P01275	100834	0
P01275	100835	1
P01275	100837	1
P01275	100838	1
P01275	100839	1
P01275	100843	1
P01275	100844	1
P01275	100847	1
P01275	100848	1
P01275	100849	1
P01275	100850	1
P01275	100851	1
P01275	100852	1
P01275	100854	1
P01275	100855	1
P01275	100856	1
P01275	100857	1
P01275	100858	1
P01275	100859	1
P01275	2229	1
P01275	100861	1
P01275	100860	1
P01275	100863	1
P01275	100864	1
P01275	108252	1
P01275	108253	1
P01275	142020	1
P01275	142021	1
P01275	142022	1
P01275	142023	0
P01275	142024	1
P01275	142025	0
P01275	142027	0
P01275	142028	0
P01275	142029	1
P01275	142030	1
P01275	142031	1
P01275	142032	1
P01275	142034	0
P01275	142035	1
P01275	142036	1
P01275	142037	1
P01275	142038	1
P01275	142039	1
P01275	142040	1
P01275	142041	1
P01275	142042	1
P01275	142046	1
P01275	142048	0
P01275	160575	1
P01275	160576	1
P01275	160577	1
P01275	160578	1
P01275	160579	1
P01275	160580	1
P01275	160581	1
P01275	160582	0
P01275	160583	1
P00533	4320	0
P00533	4321	0
P00533	4324	0
P00533	4325	0
P00533	4326	0
P00533	4327	0
P00533	4328	0
P00533	4329	0
P00533	4330	0
P00533	4332	0
P00533	4333	0
P00533	4334	0
P00533	4335	0
P00533	4336	0
P00533	4337	0
P00533	4338	0
P00533	4339	0
P00533	4340	0
P00533	4341	0
P00533	4342	0
P00533	4343	0
P00533	4344	0
P00533	4348	0
P00533	4349	0
P00533	4350	0
P00533	4351	0
P00533	4352	0
P00533	4354	0
P00533	4356	0
P00533	4360	0
P00533	4301	0
P00533	4363	0
P00533	4374	0
P00533	4375	0
P00533	4380	0
P00533	3032	1
P00533	50040929	1
P00533	50236369	1
P00533	50292509	0
P00533	5446	1
P00533	50032632	0
P00533	50032634	0
P00533	50032631	0
P00533	50032630	1
P00533	50032628	0
P00533	50032627	0
P00533	50032626	0
P00533	50032612	0
P00533	50032620	0
P00533	50032623	1
P00533	50221518	1
P00533	50221523	1
P00533	50221526	1
P00533	50221528	1
P00533	50221525	1
P00533	50221522	1
P00533	50221519	1
P00533	50221515	1
P00533	50221530	1
P00533	50221524	1
P00533	50221532	1
P00533	50221533	1
P00533	50221516	1
P00533	50221534	1
P00533	50221535	1
P00533	50221521	1
P00533	50221517	1
P00533	50221531	1
P00533	50221527	1
P00533	50221520	1
P00533	50221529	1
P00533	50141610	1
P00533	50141611	1
P00533	50141902	1
P00533	50029668	1
P00533	50141636	1
P00533	50157416	1
P00533	50157364	0
P00533	50157333	1
P00533	50157358	1
P00533	50157390	1
P00533	50157385	0
P00533	50157901	0
P00533	50157905	0
P00533	50157324	1
P00533	50157311	0
P00533	50155842	0
P00533	50157908	0
P00533	50157909	0
