XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomLAC	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR
17-alpha-hydroxyprogesterone	4.279	386.245709568001	0	3	3.66	0	4	3	31	0	62	0	0	0.573599999999998	0.329016959999997	106.3888
2-hydroxyethyl_methacrylate	0.00499999999999995	130.142037701694	0	4	1.79	3	5	7	8	0	19	0	0	0.6257	0.39150049	32.7099
2-mercaptoethanesulfonic_acid	-0.23	163.9577803	0	2	1.02	2	3	5	6	1	13	0	0	NA	NA	NA
5-hydroxytryptophan	-1.677	220.225005107358	0	3	2.12	3	10	4	17	1	28	10	9	0.9814	0.96314596	57.9716
6-aminocaproic_acid	0.048	131.094628656	0	5	1.79	6	3	8	8	1	22	0	0	-1.8073	3.26633329	29.4376
85_strontium	1.024	157.84331746	0	0	1.13	0	0	0	0	0	3	0	0	NA	NA	NA
abacavir	1.054	286.154209196	0	4	2.23	0	11	2	24	0	39	10	9	-1.2961	1.67987521	79.118
abarelix	2.389	1414.6840714	3	48	6.19	6	10	32	106	1	196	29	28	-3.03949999999999	9.23856024999995	355.0611
abiraterone	5.537	349.240564612001	1	1	3.88	0	8	0	30	0	57	6	6	1.0066	1.01324356	105.4839
acamprosate	-1.044	181.040878832	0	5	1.35	3	4	8	10	0	22	0	0	-1.4312	2.04833344	36.1213
acarbose	-5.53	645.248013536001	2	9	2.12	0	2	2	47	1	87	0	0	-7.2263	52.21941169	137.768
acebutolol	1.715	336.204907376001	0	11	2.78	4	12	7	24	1	52	6	6	-0.1375	0.0189062499999999	91.1766
aceclofenac	3.608	353.022163256	0	7	2.45	2	13	6	24	0	36	12	12	4.5648	20.83739904	86.0147
acemetacin	3.121	415.082264976	0	8	2.89	2	18	6	31	0	47	16	15	4.6113	21.26408769	105.8091
acenocoumarol	2.891	353.0899372	0	5	2.78	4	12	4	28	0	41	17	16	3.6796	13.53945616	85.6533
acepromazine	4.178	326.145284324001	0	5	3.11	3	15	5	25	1	45	12	12	3.8472	14.80094784	97.1752
aceprometazine	4.28	326.145284324001	0	4	3.11	3	15	4	25	1	45	12	12	4.1245	17.01150025	98.848
acetaminophen	-1.91	270.067427928	0	6	1.9	3	10	5	18	1	32	6	6	0.0908999999999998	0.00826280999999996	66.7205
acetate	3.685	196.14632988	0	2	2.56	0	3	3	15	0	34	0	0	1.1291	1.27486681	53.8467
acetazolamide	-0.981	221.988132052	0	3	0.91	0	12	3	13	0	19	5	5	-1.018	1.036324	45.2136
acetic_acid	-0.08	60.021129368	0	0	1.46	0	3	3	3	0	8	0	0	-0.2299	0.0528540100000001	12.6437
