tpsaEfficiency	TopoPSA	nHBDon	nHBAcc	PPSA.1	PPSA.2	PPSA.3	PNSA.1	PNSA.2	PNSA.3	DPSA.1	DPSA.2	DPSA.3	FPSA.1	FPSA.2	FPSA.3	FNSA.1	FNSA.2	FNSA.3	WPSA.1	WPSA.2	WPSA.3	WNSA.1	WNSA.2	WNSA.3	RPCG	RNCG	RPCS	RNCS	THSA	TPSA	RHSA	RPSA	bpol	apol
17-alpha-hydroxyprogesterone	0.156480702575569	60.44	0	4	509.476956646254	898.21305587911	15.5199738631794	130.104470077904	-229.375503892214	-28.8573642647033	379.37248656835	1127.58855977132	44.3773381278828	0.79657872376895	1.40437639110258	0.0242658295170803	0.20342127623105	-0.358633778762216	-0.0451191405174264	325.851998814894	574.480387781427	9.92628702613395	83.2124025956163	-146.704312034955	-18.4566342079177	0.146872562434615	0.170653109535608	0.0554273282994143	0.291600408555197	543.31570561654	96.2657211076188	0.84948637173428	0.15051362826572	41.959038	68.1189619999999
2-mercaptoethanesulfonic_acid	0.636627306182188	104.38	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.180035	38.659965
6-aminocaproic_acid	0.483009873472051	63.32	2	3	320.469088753867	343.330538372248	26.5856420168244	139.596203232103	-149.554641281518	-37.9966914666006	180.872885521764	492.885179653766	64.582333483425	0.69657306112029	0.746264811436194	0.0577866717614402	0.30342693887971	-0.325072644875977	-0.0825897804691585	147.436704890026	157.954464383929	12.2311311571048	64.2233680001103	-68.8048997090387	-17.4809589540824	0.241614856998256	0.309446435594566	7.77322603792267	16.3915906719614	282.596273016985	177.469018968985	0.614252537497662	0.385747462502338	14.509691	21.932309
85_strontium	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	31.96
abacavir	0.356031806368494	101.88	3	6	486.442701135364	990.471563803298	40.1995579801409	148.927077024961	-303.238252993172	-26.8503821430241	337.515624110402	1293.70981679647	67.049940123165	0.765605664379929	1.55888995329798	0.063269546903122	0.234394335620071	-0.477262632590395	-0.0422594575095588	309.070991108085	629.315697767811	25.5415842359852	94.6237638914151	-192.668421533996	-17.0599213457331	0.103013330864495	0.194047399433293	3.80342714994426	2.34865609059376	485.372465238041	149.997312922284	0.763921234408422	0.236078765591578	25.617726	44.044274
abarelix	0.300406294657315	424.98	13	27	1253.38865463211	11769.8117334318	76.5801856132924	647.044026454604	-6075.99753393948	-124.343340800426	606.344628177501	17845.8092673713	200.923526413718	0.659528047010531	6.1932273900392	0.0402961843244572	0.340471952989469	-3.19716535839885	-0.0654289636449124	2381.98076136615	22367.7348684517	145.535487463187	1229.66361397626	-11547.0242837008	-236.306148532632	0.0237096105969503	0.0419488963917455	0	0.82072931965296	1481.75874770349	418.673933383222	0.779695467484902	0.220304532515098	125.670665	218.873335000001
abiraterone	0.0948343444490638	33.12	1	2	480.959509307451	697.934951792772	22.032032823837	113.282583139793	-164.387797044451	-22.2103103277899	367.676926167658	862.322748837224	44.242343151627	0.809366275833363	1.17449598516068	0.0370758536021967	0.190633724166637	-0.276634387118993	-0.0373758618079747	285.80638519326	414.742326145403	13.0923612861033	67.3172792428195	-97.6861484884877	-13.1983012830885	0.144806247517401	0.270236825717299	2.35771034676627	8.51951404843925	519.838616441186	74.4034760060578	0.874792652772804	0.125207347227196	35.209417	64.812583
acamprosate	0.507343979948494	91.85	2	5	407.816229198257	508.93640718786	32.9082997556954	195.580946934169	-244.076270929094	-47.8423495539597	212.235282264088	753.012678116954	80.7506493096551	0.675866983356175	0.843451755028043	0.0545383721657873	0.324133016643825	-0.404503502143549	-0.0792883219318545	246.075161079203	307.090790928137	19.856775143906	118.012991085384	-147.274932639549	-28.8679386203997	0.212206628738841	0.22872402590269	7.14666794473008	12.7540215293875	433.223385272774	170.173790859652	0.717973836154804	0.282026163845195	20.119277	23.342723
acarbose	0.497746592414857	321.17	14	19	678.539376379775	4844.81454679393	89.6367657306636	307.38382357166	-2194.74016059992	-114.451507029866	371.155552808116	7039.55470739385	204.088272760529	0.688227416104215	4.91398777007436	0.0909165802519699	0.311772583895785	-2.2260761900197	-0.116085621106698	668.987713253399	4776.61506114633	88.374966902473	303.056842949078	-2163.8452422006	-112.840396050149	0.0298346555939631	0.0550385609919576	1.32264739704352	0.937326566086913	380.658338805219	605.264861146216	0.386093296946425	0.613906703053575	57.247901	88.2080989999999
acebutolol	0.260733850330043	87.66	3	5	566.43075896349	1223.91438590305	32.4307446354799	172.97078188782	-373.746349299239	-36.5749866794495	393.45997707567	1597.66073520229	69.0057313149294	0.766066511453749	1.65527702916861	0.043860802072634	0.233933488546251	-0.505471423374269	-0.049465661969461	418.819775963181	904.964182806799	23.9793425544292	127.89486265011	-276.348626559409	-27.0436015074011	0.0974047814198283	0.18007866876529	2.28192607949959	4.45148247824451	589.673308612298	149.728232239012	0.797500784125197	0.202499215874803	35.761796	55.758204
