topoShape	geomShape	MOMI.X	MOMI.Y	MOMI.Z	MOMI.XY	MOMI.XZ	MOMI.YZ	MOMI.R	LOBMAX	LOBMIN	GRAV.1	GRAV.2	GRAV.3	GRAVH.1	GRAVH.2	GRAVH.3	GRAV.4	GRAV.5	GRAV.6	PPSA.1	PPSA.2	PPSA.3	PNSA.1	PNSA.2	PNSA.3	DPSA.1	DPSA.2	DPSA.3	FPSA.1	FPSA.2	FPSA.3	FNSA.1	FNSA.2	FNSA.3	WPSA.1	WPSA.2	WPSA.3	WNSA.1	WNSA.2	WNSA.3	RPCG	RNCG	RPCS	RNCS	THSA	TPSA	RHSA	RPSA
17-alpha-hydroxyprogesterone	1	0.916183656677391	5622.96013953712	5320.97469764	1362.96688671784	1.05675378272914	4.12552952997835	3.90396476208855	7.48333145335233	2.04065846325135	2.04065846325135	2161.98035248411	46.4971004739447	12.9305574335773	2493.34519677857	49.9334076223381	13.5600347715847	5448.52504398331	73.8141249625254	17.5965009443603	509.476956646254	898.21305587911	15.5199738631794	130.104470077904	-229.375503892214	-28.8573642647033	379.37248656835	1127.58855977132	44.3773381278828	0.79657872376895	1.40437639110258	0.0242658295170803	0.20342127623105	-0.358633778762216	-0.0451191405174264	325.851998814894	574.480387781427	9.92628702613395	83.2124025956163	-146.704312034955	-18.4566342079177	0.146872562434615	0.170653109535608	0.0554273282994143	0.291600408555197	543.31570561654	96.2657211076188	0.84948637173428	0.15051362826572
2-hydroxyethyl_methacrylate	1	0.755673986362995	685.542191400182	554.970321197532	163.770430979166	1.23527721251994	4.18599491557419	3.38870892553329	4.37656044640628	1.67679130795002	1.67679130795002	692.391996253402	26.3133425518956	8.84675526087799	799.750576658133	28.2798616803218	9.28221279977804	1218.97921328737	34.9138828159712	10.6823163033917	223.551478989398	243.212389449946	14.4611543872168	102.077454804757	-111.054965076797	-25.5176017701716	121.474024184641	354.267354526742	39.9787561573885	0.686522160007793	0.746900426249257	0.0444099184268386	0.313477839992207	-0.341047596056067	-0.0783640491428272	72.7948297514241	79.1969910621146	4.70897028454209	33.2393727724942	-36.1627098705045	-8.30926945740483	0.265050657294732	0.361556885734816	2.05052949212357	12.6752741543084	235.698708783891	89.9302250102646	0.723826061884557	0.276173938115443
2-mercaptoethanesulfonic_acid	999.000999000999	0.798997651998618	478.706545286684	440.43385801292	151.726725599505	1.08689769548244	3.15505751142529	2.90281001104235	3.48810252438891	1.28866298890473	1.1902325880978	932.030501657893	30.5291745983722	9.7680987576674	987.089571005597	31.4179816507298	9.95677869772459	2751.54340050022	52.4551560907049	14.0128171745513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5-hydroxytryptophan	1	0.696676934816708	1619.35358206535	1229.13247582371	625.762128743752	1.3174768496619	2.58781014011871	1.96421678360634	5.54263769107945	1.35499937348579	1.1093002730917	1368.93788606874	36.9991606130294	11.1035345345612	1513.76713670697	38.907160481163	11.4820567987819	2825.31827210333	53.1537230314428	14.1369523031211	252.101585801829	422.097440494187	26.7450934659401	161.508771084737	-270.416541313699	-36.1402605212784	90.5928147170915	692.513981807886	62.8853539872184	0.609514683576863	1.02051951423921	0.0646625332771224	0.390485316423137	-0.653795382081936	-0.0873775521322111	104.271826875164	174.583873003707	11.062047653412	66.801700448669	-111.84708216079	-14.9479860521794	0.164957491245063	0.215238596760134	0.280135294980041	7.70509683787615	257.076788642641	156.533568243926	0.621543402775923	0.378456597224077
6-aminocaproic_acid	0.75	0.945570052011678	1165.9506601919	1146.49898054681	92.5483641648525	1.01696615520392	12.59828491528	12.3881063797584	4.887249921535	2.47470116405261	2.47470116405261	608.553504853874	24.6688772515872	8.47421716610276	746.702929504032	27.3258655764832	9.07226968537329	990.314469581184	31.4692622980137	9.96761010131836	320.469088753867	343.330538372248	26.5856420168244	139.596203232103	-149.554641281518	-37.9966914666006	180.872885521764	492.885179653766	64.582333483425	0.69657306112029	0.746264811436194	0.0577866717614402	0.30342693887971	-0.325072644875977	-0.0825897804691585	147.436704890026	157.954464383929	12.2311311571048	64.2233680001103	-68.8048997090387	-17.4809589540824	0.241614856998256	0.309446435594566	7.77322603792267	16.3915906719614	282.596273016985	177.469018968985	0.614252537497662	0.385747462502338
85_strontium	999.000999000999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abacavir	0.833333333333333	0.936069257749684	3708.7108593066	3247.6952524001	791.644742167227	1.14195162140469	4.68481714304517	4.10246551187737	6.82403520730058	2.4804835433127	2.45807664997025	1881.90231605457	43.380898054957	12.3461730203406	2074.06205923306	45.5418714946264	12.7528499265212	3928.39304816045	62.676894053235	15.7787154624099	486.442701135364	990.471563803298	40.1995579801409	148.927077024961	-303.238252993172	-26.8503821430241	337.515624110402	1293.70981679647	67.049940123165	0.765605664379929	1.55888995329798	0.063269546903122	0.234394335620071	-0.477262632590395	-0.0422594575095588	309.070991108085	629.315697767811	25.5415842359852	94.6237638914151	-192.668421533996	-17.0599213457331	0.103013330864495	0.194047399433293	3.80342714994426	2.34865609059376	485.372465238041	149.997312922284	0.763921234408422	0.236078765591578
abarelix	1	0.963833040897448	131995.584072612	124694.8227044	16004.3678092828	1.05854903363164	8.24747254284246	7.79129948713593	16.874512094027	3.15292999329009	3.15292999329009	8208.07015088861	90.5984003770961	20.1719099078723	9192.31773337272	95.8765755196373	20.9479570983533	25436.9752745165	159.489734072499	29.4095574440579	1253.38865463211	11769.8117334318	76.5801856132924	647.044026454604	-6075.99753393948	-124.343340800426	606.344628177501	17845.8092673713	200.923526413718	0.659528047010531	6.1932273900392	0.0402961843244572	0.340471952989469	-3.19716535839885	-0.0654289636449124	2381.98076136615	22367.7348684517	145.535487463187	1229.66361397626	-11547.0242837008	-236.306148532632	0.0237096105969503	0.0419488963917455	0	0.82072931965296	1481.75874770349	418.673933383222	0.779695467484902	0.220304532515098
abiraterone	0.857142857142857	0.811933978600677	5718.29897814368	5407.38323762615	954.340859609598	1.05749837340067	5.99188321506314	5.66609213382963	7.45676538267754	2.5281623556426	2.5281623556426	2009.6480467125	44.8290982143574	12.6194376369094	2320.99975508756	48.1767553399724	13.2401131990751	4607.61656034685	67.879426635372	16.6402090052813	480.959509307451	697.934951792772	22.032032823837	113.282583139793	-164.387797044451	-22.2103103277899	367.676926167658	862.322748837224	44.242343151627	0.809366275833363	1.17449598516068	0.0370758536021967	0.190633724166637	-0.276634387118993	-0.0373758618079747	285.80638519326	414.742326145403	13.0923612861033	67.3172792428195	-97.6861484884877	-13.1983012830885	0.144806247517401	0.270236825717299	2.35771034676627	8.51951404843925	519.838616441186	74.4034760060578	0.874792652772804	0.125207347227196
acamprosate	0.75	0.611671109231002	1199.8777936629	1136.13919728442	244.85031348795	1.05610104512794	4.90045439015521	4.64013780950433	4.90692904207488	1.68058595399916	1.68058595399916	1221.90969412315	34.9558248954756	10.6908697090204	1338.59539994275	36.5868200304803	11.0208842913618	2040.7645675128	45.1748222742801	12.6842356480395	407.816229198257	508.93640718786	32.9082997556954	195.580946934169	-244.076270929094	-47.8423495539597	212.235282264088	753.012678116954	80.7506493096551	0.675866983356175	0.843451755028043	0.0545383721657873	0.324133016643825	-0.404503502143549	-0.0792883219318545	246.075161079203	307.090790928137	19.856775143906	118.012991085384	-147.274932639549	-28.8679386203997	0.212206628738841	0.22872402590269	7.14666794473008	12.7540215293875	433.223385272774	170.173790859652	0.717973836154804	0.282026163845195
