Wlambda1.unity	Wlambda2.unity	Wlambda3.unity	Wnu1.unity	Wnu2.unity	Wgamma1.unity	Wgamma2.unity	Wgamma3.unity	Weta1.unity	Weta2.unity	Weta3.unity	WT.unity	WA.unity	WV.unity	WK.unity	WG.unity	WD.unity	BCUTw.1l	BCUTw.1h	BCUTc.1l	BCUTc.1h	BCUTp.1l	BCUTp.1h
17-alpha-hydroxyprogesterone	2.24377848404044	3.14185666246201	11.7247018197437	0.1311358442833	0.18362330728261	NA	NA	NA	0.345488404171999	0.488700939878303	0.534338053798858	17.1103369662461	70.194596581844	169.959747683281	0.263930636325568	NA	1.36852739784916	11.9	15.9979388227143	-0.301209898848984	0.259060040650838	4.42012094011761	12.9133017954835
2-hydroxyethyl_methacrylate	0.325926672198442	1.57959983454441	5.45336415491919	0.0442901908974456	0.214651896212255	NA	NA	NA	0.361692301531709	0.562512162498191	0.597012179932353	7.35889066166205	10.9063636655981	21.0728300679	0.305793434667725	NA	1.52121664396225	11.79	15.996919212145	-0.393386006028491	0.288397583951391	3.78766683130208	7.35069317130098
2-mercaptoethanesulfonic_acid	0.706128995547474	0.907324167585269	2.2082945821927	0.18476598734471	0.237410794235454	NA	NA	NA	0.433338173167835	0.407701038141043	0.508710748702998	3.82174774532544	4.20366778186065	9.44024315246262	0.183367413814877	NA	1.34974996001188	NA	NA	NA	NA	NA	NA
5-hydroxytryptophan	0.811747869036217	2.74657843072981	6.22666448583346	0.0829584704597639	0.280693001241446	NA	NA	NA	0.265154627631227	0.408663589471024	0.501077345927777	9.78499078559949	24.3860331880461	48.0535541904736	0.227261396224093	NA	1.17489556303003	11.85	15.9969259829969	-0.360474547817438	0.276252745449884	4.13339896383705	9.84361298642514
6-aminocaproic_acid	0.667358221275045	0.714312070378056	7.39411503293368	0.0760454132128019	0.0813958003709133	NA	NA	NA	0.396553402287578	0.420454537278657	0.547903146579987	8.77578532458678	10.6929311067928	22.9935060977653	0.381919089812214	NA	1.36491108614622	11.9935508906755	15.9959186907053	-0.364165150147554	0.258876907812451	3.6994787709344	7.07047455868336
85_strontium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abacavir	1.06682107708765	2.94463363712013	14.2216396095266	0.0585101496293443	0.161499391427326	NA	NA	NA	0.384670109482417	0.32694953011808	0.60231290696612	18.2330943237344	60.1908604837806	123.099774059915	0.334992844207497	NA	1.31393254656662	11.9	15.994921189938	-0.395176061285174	0.201224153017966	4.48087178199226	10.4190853526242
abarelix	3.81508548047061	9.03810290500114	90.3896222665181	0.0369525534647684	0.0875422012237416	NA	NA	NA	0.351039046422102	0.391592763987956	0.572497645391004	103.24281065199	1196.27597824706	4416.25557168193	0.406628933983618	NA	1.31512945580106	11.85	34.9688572413607	-0.394211904274512	0.23402127757482	4.40466970134814	11.6717585981895
abiraterone	1.5934752266124	2.70734621529094	13.3775437525565	0.0901370239320417	0.153144602767873	NA	NA	NA	0.393442468338908	0.47038772105515	0.478327445339636	17.6783651944598	61.8485161349239	137.238797337171	0.317538779975064	NA	1.34215763473369	11.85	15.9949211901906	-0.392217023988979	0.166952725389385	5.23953961519369	12.7928644755787
acamprosate	0.886158781513419	1.59523289281767	5.39511606021437	0.112506558919104	0.202530480078266	NA	NA	NA	0.458636207832355	0.481448602925354	0.52379904051236	7.87650773454545	14.8010257103953	30.3042294001757	0.263722220751972	NA	1.46388385127007	11.89	31.9720715571869	-0.285711443988051	0.2649534304624	4.07826947889056	9.03841166963984
acarbose	1.64925201140105	3.39970219813015	33.329290368812	0.0429736177233004	0.0885840985037809	NA	NA	NA	0.359079588489129	0.470897676114063	0.563267501269759	38.3782445783432	173.885026596732	399.139458692749	0.401331712829689	NA	1.39324476587295	11.9961291432005	16.0122958673803	-0.417856164312298	0.189990700029846	4.44786647438274	10.4375148596189
acebutolol	0.879662207982807	4.49421166644526	22.0726869796474	0.0320499975446719	0.163744073085861	NA	NA	NA	0.479410943771535	0.419196718265649	0.529260741864378	27.4465608540755	122.569224056003	237.277684222873	0.353154447027101	NA	1.42786840390156	11.85	15.9979368331765	-0.389199188351409	0.204154475800224	4.75505866764871	9.76616262757567
aceclofenac	1.75606321195989	5.69912331874219	5.93770838091829	0.131119016728507	0.425533341099939	NA	NA	NA	0.411229992655425	0.451779623529831	0.44523334135829	13.3928949116204	54.2747443451248	127.092348240076	0.0825107316286655	NA	1.30824295754355	11.85	34.9698545930055	-0.329840078993562	0.28572493521307	3.58981855551228	11.1605941290897
acemetacin	2.55592976203199	5.98268283542282	10.6148171118254	0.133445017463039	0.312355694318501	NA	NA	NA	0.451472920937136	0.301968873318993	0.439086269677777	19.1534297092802	105.927128226566	287.395092519574	0.165649466163845	NA	1.19252806393391	11.85	34.9688539603485	-0.348787474965601	0.285785045541119	3.60290041311509	11.4001056090939
acenocoumarol	1.81885349604997	3.68617760445382	9.81028866924041	0.118760399612626	0.240685644170222	NA	NA	NA	0.399320417054089	0.457983779739167	0.44599822005956	15.3153197697442	60.7105612520103	141.800109433322	0.230415467162864	NA	1.30330241685282	11.9943053487016	15.9999464386338	-0.359525064963981	0.297285232751474	3.72686012618276	11.8586180385473
acepromazine	1.40805454488601	6.38503820067982	10.4609862161033	0.0771364333332134	0.349786927847056	NA	NA	NA	0.48428204265434	0.381509148267824	0.478296779526073	18.2540789616691	90.5139178499168	202.817305693707	0.179807479114798	NA	1.34408797044824	11.85	31.9720721271846	-0.309233089998309	0.159716551197079	4.7654146327979	12.1072972390966
aceprometazine	1.89729791862448	4.69462260402738	8.42560620044937	0.12633890743846	0.312609572174472	NA	NA	NA	0.461761811481708	0.477109617358167	0.416804183792604	15.0175267231012	64.4480241238736	154.513248416912	0.170788640290301	NA	1.35567561263248	11.85	31.9720721271846	-0.305341389296821	0.159718053831896	4.77458522486301	12.2133537185962
