nSmallRings	nAromRings	nRingBlocks	nAromBlocks	nRings3	nRings4	nRings5	nRings6	nRings7	nRings8	nRings9	tpsaEfficiency	Zagreb	WPATH	WPOL	VAdjMat	VABC	TopoPSA	topoShape	geomShape	PetitjeanNumber	MDEC.11	MDEC.12	MDEC.13	MDEC.14	MDEC.22	MDEC.23	MDEC.24	MDEC.33	MDEC.34	MDEC.44	MDEO.11	MDEO.12	MDEO.22	MDEN.11	MDEN.12	MDEN.13	MDEN.22	MDEN.23	MDEN.33	khs.sLi	khs.ssBe	khs.ssssBe	khs.ssBH	khs.sssB	khs.ssssB	khs.sCH3	khs.dCH2	khs.ssCH2	khs.tCH	khs.dsCH	khs.aaCH	khs.sssCH	khs.ddC	khs.tsC	khs.dssC	khs.aasC	khs.aaaC	khs.ssssC	khs.sNH3	khs.sNH2	khs.ssNH2	khs.dNH	khs.ssNH	khs.aaNH	khs.tN	khs.sssNH	khs.dsN	khs.aaN	khs.sssN	khs.ddsN	khs.aasN	khs.ssssN	khs.sOH	khs.dO	khs.ssO	khs.aaO	khs.sF	khs.sSiH3	khs.ssSiH2	khs.sssSiH	khs.ssssSi	khs.sPH2	khs.ssPH	khs.sssP	khs.dsssP	khs.sssssP	khs.sSH	khs.dS	khs.ssS	khs.aaS	khs.dssS	khs.ddssS	khs.sCl	khs.sGeH3	khs.ssGeH2	khs.sssGeH	khs.ssssGe	khs.sAsH2	khs.ssAsH	khs.sssAs	khs.sssdAs	khs.sssssAs	khs.sSeH	khs.dSe	khs.ssSe	khs.aaSe	khs.dssSe	khs.ddssSe	khs.sBr	khs.sSnH3	khs.ssSnH2	khs.sssSnH	khs.ssssSn	khs.sI	khs.sPbH3	khs.ssPbH2	khs.sssPbH	khs.ssssPb	Kier1	Kier2	Kier3	HybRatio	fragC	FMF	ECCEN	SCH.3	SCH.4	SCH.5	SCH.6	SCH.7	VCH.3	VCH.4	VCH.5	VCH.6	VCH.7	C1SP1	C2SP1	C1SP2	C2SP2	C3SP2	C1SP3	C2SP3	C3SP3	C4SP3	ATSp1	ATSp2	ATSp3	ATSp4	ATSp5	ATSm1	ATSm2	ATSm3	ATSm4	ATSm5	ATSc1	ATSc2	ATSc3	ATSc4	ATSc5
17-alpha-hydroxyprogesterone	4	0	1	0	0	0	1	3	0	0	0	0.156480702575569	164	1759	62	5.95419631038688	398.849326917447	60.44	1	0.916183656677391	0.5	1.63191393726829	8.55318297895868	9.52205774257089	4.36816438117056	7.97111645906714	19.8935434181145	8.39913944165373	7.85651928237896	8.39913944165373	1.10520944959212	0.344566678291345	0.766309432393553	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0	1	0	4	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.2403746097815	7.01730103806228	2.92590027700831	0.791666666666667	3469.04	0.274193548387097	544	0	0	0.0721687836487032	0.403885987195269	1.10052689325759	0	0	0.0721687836487032	0.348631266125953	0.853968682010087	0	0	1	3	1	5	7	5	2	2568.87978421394	3250.43692266273	5305.68211608201	6049.17180264887	5326.11817515402	31.0978761421638	32.6604598856628	54.763296829734	66.0953888068666	64.9851037255908	0.518204433681666	-0.205842530164611	-0.0842090194479341	0.105819712457438	-0.10033012936022
2-hydroxyethyl_methacrylate	0	0	0	0	0	0	0	0	0	0	0	0.357749721920172	34	102	8	4	133.430129156083	46.53	1	0.755673986362995	0.5	0.5	0.894427190999916	2.82842712474619	0	1	1.37317809593808	0	1	0	0	0.2	0.816496580927726	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4.83950617283951	4.5	0.5	252.03	0	74	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	0	0	299.128317712647	292.724928065918	309.056480672119	248.277444124024	154.773469219727	11.3234071066228	9.32836790853026	11.1028369440712	10.4349289212038	5.66418395426513	0.372097298683078	-0.210137051027281	0.0149889227478199	0.0649631759424765	-0.10343179969393
2-mercaptoethanesulfonic_acid	0	0	0	0	0	0	0	0	0	0	0	0.636627306182188	28	7000000039	4	3.58496250072116	NA	104.38	999.000999000999	0.798997651998618	0.999000000999	0	0	0	0	1	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8888888888889	3.9375	11.25	1	65.06	0	-884901900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	387.830217902344	365.911950179688	415.440767558594	216.60661909375	124.7113021875	25.242698272523	17.0087687640627	14.6592534471265	11.1240289698477	10.6691983549568	NA	NA	NA	NA	NA
5-hydroxytryptophan	2	2	1	1	0	0	1	1	0	0	0	0.451371487266896	82	439	22	5.08746284125034	187.48127919775	99.34	1	0.696676934816708	0.5	0	0	0	0	3.61939931847957	12.4798128280006	0	5.79836445299759	0	0	0.595275394488075	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	1	2	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.4567474048443	5.10416666666667	2.83111111111111	0.181818181818182	601.05	0.321428571428571	210	0	0	0.0962250448649376	0.272165526975909	0.426455124104079	0	0	0.0360843918243516	0.0912384460368925	0.113481649996093	0	0	2	5	2	0	2	0	0	922.65863752359	1077.23701427866	1495.39601270583	1307.16724448312	991.151120270691	19.0433677091758	18.494821730939	26.9337466099734	25.1000188353853	18.993095641252	0.334321810282901	-0.119149629633491	-0.0644197579298181	0.029577680657805	-0.011247366109751
6-aminocaproic_acid	0	0	0	0	0	0	0	0	0	0	0	0.483009873472051	32	114	6	4	138.273121364489	63.32	0.75	0.945570052011678	0.428571428571429	0	0	0	0	5.67624001860939	1.91925974818689	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6.125	8	0.833333333333333	369.03	0	87	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	312.667351246399	296.88271865686	277.659864479981	216.682522061035	167.648749275391	10.9089183723584	8.83036588744557	9.60483492298652	6.83036588744558	5.83036588744558	0.221655298263035	-0.105169304577466	-0.000441191603782268	-0.000851301363684237	0.0147990178756596
85_strontium	0	0	0	0	0	0	0	0	0	0	0	0	0	2999999997	0	0	NA	0	999.000999000999	NA	0.999000000999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Inf	NA	0	NA	6.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.979298	0	0	0	0	70.6408910309353	0	0	0	0	NA	NA	NA	NA	NA
abacavir	4	2	3	1	1	0	2	1	0	0	0	0.356031806368494	118	910	31	5.58496250072116	241.062903105295	101.88	0.833333333333333	0.936069257749684	0.454545454545455	0	0	0	0	5.04105158828504	13.4945620407252	0	6.87463892820446	0	0	0	0	0	0	1.33748060995284	0.25	2.18224727194344	1.4142135623731	0	0	0	0	0	0	0	0	0	3	0	2	1	3	0	0	0	2	2	0	0	1	0	0	1	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.5833333333333	5.89387755102041	2.93345405160706	0.5	1344.07	0.461538461538462	393	0.288675134594813	0.204124145231932	0.214076175062696	0.537457478565265	0.875722341686304	0.288675134594813	0.144337567297406	0.10743493359132	0.215561594928383	0.24242264122414	0	0	2	3	0	1	5	1	0	1405.88696910122	1708.21893148899	2366.63318132305	2212.20125495934	2145.9225364643	23.9343508431998	26.3262751752979	36.1537931165959	35.0706719226208	36.4582686588129	0.454344594937862	-0.337757480866389	0.163573305812437	-0.078886801332277	0.0451244297542235
abarelix	6	5	5	4	0	0	1	5	0	0	0	0.300406294657315	502	70741	156	7.7279204545632	1348.90955783024	424.98	1	0.963833040897448	0.5	1.53856406895428	15.117604992017	18.0310223622443	0	0	0	0	0	0	0	7.58916263154348	0	0	0.0588235294117647	1.56322466907636	0.418872039318221	4.26387206648282	2.29832152935283	0.0833333333333333	0	0	0	0	0	0	7	0	14	0	0	19	12	0	0	12	6	2	0	0	2	0	0	9	0	0	0	0	1	2	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.8896404414382	46.615933412604	31.0046487603306	0.458333333333333	30301.29	0.306122448979592	5813	0	0	0.117851130197758	0.556186217847897	0.881637984060554	0	0	0.0912870929175277	0.223521887217093	0.28689835666876	0	0	14	19	6	9	22	1	0	6997.30961901671	8041.22042654591	10810.0820364163	11739.6795076844	12436.7165417023	124.595240623293	117.254152448346	166.841373561521	181.71563386161	193.283377157341	2.51919212125786	-1.12414565472927	-0.194546999609005	0.944197322557977	-1.64059879833668
abiraterone	5	1	2	1	0	0	1	4	0	0	0	0.0948343444490638	154	1524	53	5.90689059560852	357.58248962233	33.12	0.857142857142857	0.811933978600677	0.461538461538462	0.166666666666667	5.85469750272777	3.91589739332289	1.78885438199983	17.9366725923175	26.1835664394604	7.86597718282543	6.49645735554206	5.80205850268521	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	2	4	4	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.0555555555556	6.51878678134903	2.70367346938776	0.625	3071.02	0.403508771929825	567	0	0	0.0833333333333333	0.495696625876932	1.02088065537794	0	0	0.058925565098879	0.322085154549412	0.709530400418088	0	0	2	4	3	2	8	3	2	2472.86090721923	3099.04379678335	4894.62203026339	5287.54045287885	4498.97925488092	27.1344493368174	30.6644558434935	47.996547820626	53.996547820626	47.996547820626	0.164560870460593	-0.0674485684801269	-0.0288210410231911	0.0153536329657172	0.010921715584882
acamprosate	0	0	0	0	0	0	0	0	0	0	0	0.507343979948494	46	190	8	4.32192809488736	157.066614197345	91.85	0.75	0.611671109231002	0.428571428571429	0	0.766309432393553	1	0	2.3811015779523	1.04004191152595	0	0	0	0	1.60356745147455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4.79289940828402	10	0.8	331.06	0	113	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	521.235360861633	517.683792289673	610.353304477051	400.212214229004	331.967761751465	20.5856094818903	20.0034394030032	19.2073856831336	11.1643350462637	10.4418231795524	0.376728970218831	-0.182464091156951	0.0449702204643157	-0.0235641914695705	-0.0679081208537749
